name,free_returns,items_sold,item_price,item_shipping,item_status
Retro Vintage Clear Lens Gold Wood Frame Fashion Eye Glasses Designer Mens Women,True,5540,995,0,Brand New
4Pair Reading Glasses Rectangular Business Metal Reader +1.0 1.5 2.0 2.5 3.0 3.5,True,,1192,0,Brand New
Men Ultra Light Titanium Material Screwless Foldable Anti-Blue Reading Glasses,False,,502,73,Brand New
Reading glasses spring hinge men women 4 pair lot pack frame lens power unisex +,True,,10951195,0,Brand New
Pyramex Emerge Plus BiFocal Reading Safety Glasses FULL Readers Clear Lens 1 PR,True,,989,0,Brand New
3 Pack High Power Extra Strength Reading Glasses Reader Women 4.0 4.5 5.0 6.0,False,266,12991899,0,Brand New
Classic Bifocal Reading Glasses Retro Men Women Plastic Frame Quality Reader,True,,8951795,0,Brand New
Classic Blue Light Blocking Computer Reading Glasses Unisex Readers Gaming,True,224,849,0,Brand New
Glasses Quality Reading Stylish Spring Readers Fashion Simple Women/Men Hinge ,False,,750,0,Brand New
4 PK Mens Half Frame Spring Hinge Reading Glasses Blue Light Blocking Readers,True,,1299,0,Brand New
4 PK Mens Rectangular Blue Light Blocking Reading Glasses Spring Hinge Readers,True,,1469,0,Brand New
Reading Glasses Unisex Eyewear Premium Rubber Blue +1.50 +2.00 Readers ,True,,1099,0,Brand New
Anti Blue Ray Blue Light Blocking Reading Glasses Anti Glare With Case UV 100%,True,,14952495,0,Brand New
4 Pairs Mens Womens Unisex Spring Hinge Rectangular Reading Reader Glasses 1-4,True,,1299,0,Brand New
READING GLASSES UNISEX MEN WOMEN STYLE FRAME LOT READER 8 PACK BEST DEAL NEW ,True,,1395,0,Brand New
Shop on eBay,False,,2000,,Brand New
4 Pack Mens Half Frame Blue Light Blocking Reading Glasses Spring Hinge Readers,True,,1259,0,Brand New
NWT Retro Reading Glasses Beaton Classic Style Round Men Women Frame,False,,1050,0,Brand New
"READING GLASSES LENS 2,4,8,12 PACK LOT CLASSIC READER UNISEX MEN WOMEN STYLE LOT",True,,7951695,0,Brand New
6 Packs Unisex Rectangle Reading Glasses Light Weight Readers for Men Women,True,,1099,0,Brand New
Reading Glasses Unisex Eyewear Premium Rubber Blue +1.50 +2.00 Readers ,True,,1099,0,Brand New
Anti Blue Ray Blue Light Blocking Reading Glasses Anti Glare With Case UV 100%,True,,14952495,0,Brand New
4 Pack Reading Glasses Readers Men Women Metal Frame Spring Hinge,True,,1295,0,Brand New
TERAISE Anti- UV Reading Glasses 4 Pairs Blue Light Blocking Reader Womens Mens,True,0,17391999,0,Brand New
Metal Frame Semi Rimless Bifocal Reading Glasses Spring Hinges Temples,True,,9991599,0,Brand New
6 Pair Rectangular Spring Hinge Power Reading Reader Glasses For Mens Womens 1-4,False,22,1299,0,Brand New
Square Reading Glasses Progressive Multifocus Anti Blue Light Presbyopia NEW,False,,799899,0,New without tags
Reading Glasses Mens Womens Unisex Readers Eyeglasses 4 Pack Glasses New Square ,False,,795,0,Brand New
One Power Readers Multifocal Auto Focus Reading Fashions Adjusting Men Glasses ,False,,729,0,Brand New
Reading Glasses +6.50 +7.00 +7.50 +8.00 Highly Strength Plastic Frame Eyewear,False,,1245,0,Brand New
Reading Glasses Bulk Pack 12 PCS Mens Womens Readers Pick Your Power Eyeglasses,False,,1695,0,Brand New
