name,free_returns,items_sold,item_price,item_shipping,item_status
Patagonia Blk Large Wheeled Rolling Travel Duffle Bag 30x17x14 Luggage Suitcase,False,0,22900,5000,Pre-Owned
Mercedes Benz Red Leather Travel Luggage Duffel Shoulder Traveling Large Bag,False,,10000,959,Pre-Owned
Cabelas Extra Large Heavy Duty Brown  Canvas Equipment Duffle Bag 48” X 19”,False,,7999,1888,Pre-Owned
The North Face Large Yellow Base Camp Duffel Bag Heavily Used Condition Wear,False,,7999,2530,Pre-Owned
Louis Vuitton Large Monogram Canvas Suitcase Trunk Vintage Luggage,False,0,200000,4980,Pre-Owned
"Marlboro Adventure Team Vintage 1990's Large Duffle Bag 28""x12""x12""",False,,2970,1249,Pre-Owned
Samantha Brown Croco Camel Brown Dowel Bag Large 17×13  NEW with tags!,False,,5999,1999,Brand New
Womens Large Capacity Folding Travel Duffel Bag Gym Tote Weekender Overnight Bag,True,0,16951895,0,Brand New
WHITEDUCK FILIOS Water Proof Duffel Bag- Multipurpose Heavy Duty Tactical Canvas,True,,28153849,0,Brand New
Filson Rugged Twill Tan Large Size  Wheeled Rolling Duffle Bag,False,,47999,2761,Pre-Owned
Rick Steves Europe Large Convertible Carry On Backpack Bag Travel Gear,False,,3999,1705,Pre-Owned
Vintage Rimowa Aluminum Large 30” Upright Wheeled Suitcase Made in Germany Rare,False,,89500,0,Pre-Owned
Wrangler Wesley Rolling Duffel Bag Navy Blue Large 30-Inch,True,0,8499,0,Brand New
WHITEDUCK Military Cargo Army Duffle Top Load Bag with Snap-Closure Storm Flap,True,,24833219,0,Brand New
WHITEDUCK FILIOS Heavy Duty Duffel Bag | 100% Cotton Canvas with Full Length Zip,True,,28153849,0,Brand New
Shop on eBay,False,,2000,,Brand New
Carry On Luggage With Wheels Bag Travel Large Trolley Backpacks Duffle Foldable,False,,16199,0,Brand New
Carry On Luggage With Wheels Rolling Duffle Bag Travel Large Suitcase Trolley,False,,9839,0,Brand New
Carry On Luggage With Wheels Duffle Bag Travel Large Suitcase Trolley Waterproof,False,,14279,0,Brand New
Carry On Luggage With Wheels Rolling Duffle Bag Travel Large Trolley Foldable,False,,92399479,0,Brand New
Wrangler Wesley Rolling Duffel Bag Navy Blue Large 30-Inch,True,0,8499,0,Brand New
"DSW Exclusive Nylon Duffel / Gym Bag - Black - 25.5"" x 8.25"" x 12.5""",False,,3299,1625,Brand New
TUMI Extra Large Duffel 264D3 Black Travel Bag Ballistic Nylon Leather New Strap,False,0,13000,2000,Pre-Owned
3-in-1 Multifunctional Large Capacity Traveling Storage Suitcase White,False,,13567,0,Brand New
"31"" Duffle Bag Extra Large Travel Duffel Heavy Duty Foldable Luggage Tote Black",False,0,2180,0,Brand New
Cabelas Heavyweight Canvas Large Duffel Bag,False,,2500,2875,Pre-Owned
Kipling Red Large Travel Duffel Bag No Shoulder Strap EUC,False,,4995,1260,Pre-Owned
Stitch Golf Ultimate Garment Bag Duffle Convertible Travel - Black - Large Mint!,False,0,11999,3624,Pre-Owned
"Vintage L.L. BEAN Cursive Brown Canvas Large Duffle Bag Hunting Outdoor USA 30""",True,,14995,920,Pre-Owned
Carry On Luggage With Wheels Duffle Bag Travel Large Suitcase Spinner Waterproof,False,,14519,0,Brand New
"25""New Large Vintage Men Real Leather Tote Luggage S Travel Bag Duffle Gym Bag",True,0,5886,0,Brand New
"Men's Large 30"" Real Vintage Leather Travel Bag Brown Duffel Gym Sport Luggage",True,0,52788554,0,New (Other)
Stitch Golf Ultimate Garment Bag Duffle Convertible Travel Gray Large Mint!,False,,11999,3624,Pre-Owned
WHITEDUCK Hoplite Top Load Duffel Bag - Heavy Duty Military Grade Cotton Canvas,True,,24833219,0,Brand New
Men Women Duffle Tote Bag Gym Travel Sport Overnight Weekend Bag Carry Large Bag,False,,2699,0,Brand New
"LL Bean Adventure Large Duffel Bag, Royal Blue",False,,3500,1265,Pre-Owned
Large Travel Garment Bag Suit Cover w/ Handle Dress Storage Foldable Carrier Bag,False,0,7802575,0,Brand New
Ralph Lauren Signature Large Roller Suitcase ,False,,17500,,Pre-Owned
"Juicy Couture Pink 30"" Large Marble Print Luggage Hard-case Spinner Suitcase",True,0,10800,0,Pre-Owned
Vintage LL Bean Blue Canvas Leather Overnight Carry On Bag Duffle Weekender Tote,False,0,4900,1890,Pre-Owned
VERA BRADLEY ICONIC GRAND TOTE BAG SNOW LOTUS BLACK BLUE WHITE EXTRA LARGE NWOT ,True,,5999,1260,New (Other)
Vera Bradley Large Lighten Up Rolling Wheeled Luggage Duffel Travel Bag Floral,False,,11999,2220,Pre-Owned
large travel duffle bag luggage,False,,400,3437,New (Other)
"Hardside Expandable Luggage with Spinner Wheels, Gray, Checked-Large 29 Inch",False,0,11000,0,Brand New
Carry On Luggage With Wheels Rolling Bag Travel Large Trolley Waterproof Women,False,,19799,0,Brand New
3-in-1 Large Capacity Traveling Storage Suitcase Luggage Set Navy Blue,True,,16499,0,Brand New
"WHITEDUCK Hoplite Duffel Bag - 100% Cotton Canvas for Outdoor, Travel & Storage",True,,29993599,0,Brand New
"25""New Large Vintage Men Real Leather Tote Luggage Bag Travel Bag Duffle Gym Bag",True,0,5886,0,New (Other)
Willis & Geiger Large Vinyl Tote Bag / Wet Bag,False,,6500,2505,New (Other)
Multifunctional Large Capacity Traveling Storage Suitcase Luggage Set Navy Blue,False,0,11599,0,Brand New
Orvis LARGE Bullhide Duffel Bag,False,,50000,2500,Pre-Owned
Filson Rugged Twill Tan Large Size  Wheeled Rolling Duffle Bag,False,,47999,2761,Pre-Owned
"Travelpro Walkabout 5 29"" Large Softside Black Check-In Spinner Luggage Suitcase",False,,12000,4800,Pre-Owned
Eagle Creek Duffel Bag Medium/Large?,False,,7999,0,Pre-Owned
A Vintage Genuine Bag Goat Leather Gym Travel Luggage Duffel Weekend Overnight,True,,49887654,0,Brand New
Large leather Weekend Bag Mens Suitcase Leather Travel Bag Duffel Carry Luggage,True,,55768669,0,New (Other)
"24""Suitcase Hardside Large Lightweight Travel Luggage Spinner Surprise Lucky Box",False,,3990,0,Brand New
New ListingVintage Retired Vera Bradley Maison Blue Large Garment Bag NWT,False,,4999,2220,Brand New
Garment Bags Convertible Suit Travel Bag with Shoes Compartment Waterproof Large,False,,6449,0,Brand New
New ListingVera Bradley Foldable Garment Dress Hanging Bag Large Pockets Java Blue Retired,False,,6299,1382,Pre-Owned
