name,free_returns,items_sold,item_price,item_shipping,item_status
Shop on eBay,False,,2000,,Brand New
OMEGA Constellation Women's Grey Quartz Ref. 123.20.24.60.57.005 Watch Brand,False,0,323000,0,Brand New
New Invicta Men's 50mm Pro Diver Black Dial Christmas Green Silicone Strap Watch,True,,9999,999,Brand New
American Exchange Men's Brown Leather Strap Watch 44mm Gift Set,False,,1999,0,Brand New
New Blue-tooth Smart Watch & Phone with Camera Touch Screen Sleep Monitor ,True,,1999,0,Brand New
Fashion Sport Men's Stainless Steel Case Leather Band Quartz Analog Wrist Watch,False,2651,299599,0,Brand New
New Listingrolex daydate 36mm READ DISCRIPTION,False,,50000,975,Pre-Owned
Men's Watch Mesh Belt Business Minimalist Ultra Thin Watches Stainless Steel NEW,False,,499609,0,Brand New
New ListingVintage Omega Gold Wristwatch,False,,2495,364,Pre-Owned
Waterproof Men's Military Tactical LED Digital Sports Watch Backlight Wristwatch,False,,1192,0,Brand New
Fashion Men Waterproof Watch Anti-scratch Stainless Steel Quartz Male Wristwatch,True,,1698,0,Brand New
Invicta Aviator Quartz Black Dial Men's Watch 37032,True,41,4318,0,Brand New
New ListingGUCCI 102 G Series Diamond Case Leather Quartz Women's Watch 14 mm,True,,99,1175,Pre-Owned
CASIO MEN'S GOLD TONE STAINLESS STEEL DIGITAL WATCH A168WG,False,,3999,0,Brand New
Waterproof Men's Watch Stainless Steel Quartz Luminous Classic Watches,True,91,2299,0,Brand New
Ed Hardy Men's Shiny Gold Metal Alloy Bracelet Watch 42mm Gift Set,False,,1999,0,Brand New
Chronograph Men's Digital Army Military Sport Quartz Analog Waterproof Watch US,True,,1599,0,Brand New
Casio Men's Quartz Multifunction Silver-Tone Bracelet 42mm Watch AE1200WHD-1A,True,0,3099,0,Brand New
New ListingVintage Rado DiaMaster 10 Tungsten Case Automatic Men's Day Date Watch 40x36.5mm,True,,99,1175,Pre-Owned
Fashion Men's Sports Watch LED Large Digital Waterproof Multifunction Wristwatch,True,,1348,0,Brand New
New ListingVintage LeCoultre & Movado Hand Wind Men's Watches,True,,99,995,Pre-Owned
Waterproof Men's Watch Stainless Steel Quartz Analog Ultra Thin Business Luxury,True,,948,0,Brand New
Men's Watch Relojes De Hombre Stainless Steel Quartz Luminous Classic Watches,True,,1288,0,Brand New
New ListingVintage Seiko Universe Diashock 14K Gold 21J White Topaz Hand Wind Women's Watch,True,,99,1175,Pre-Owned
Casio Men's Quartz Illuminator Alarm Chronograph 36mm Watch A168W-1,True,0,2449,0,Brand New
Citizen Eco-Drive Men's Ion Plated Chronograph 45mm Watch AT2447-01E,True,0,11099,0,Refurbished
Invicta 52mm Men's PRO DIVE SCUBA Chronograph BLUE FIBER GLASS DIAL Blue Watch,True,0,8999,995,Brand New
New Listing4 Men's Mechanical Watches,False,,500,1260,Pre-Owned
Waterproof MEGIR Men's Stainless Steel Analog Sports Quartz Military Wrist Watch,True,,1398,0,Brand New
Ed Hardy Men's Black Textured Silicone Strap Watch 48mm Gift Set,False,,1999,0,Brand New
Ed Hardy Men's Matte Black Silicone Strap Watch 46mm,False,0,1999,0,Brand New
Men's Watch Relojes De Hombre Stainless Steel Quartz Luminous Classic Watches,True,,2299,0,Brand New
Men's Army Sport Digital Wrist Watch Quartz Wrist Date Waterproof Military,True,0,1299,0,Brand New
Waterproof Men Watch Stainless Steel Quartz Classic Business Luminous Wristwatch,True,,1448,0,Brand New
New ListingSeiko 5 Tuna Mod Automatic 7s26,False,,11900,0,Pre-Owned
New Listingvintage omega seamaster automatic mens watch used,False,,19900,800,Pre-Owned
Mens Military Stainless Steel Date Quartz Analog Army Casual Dress Wrist Watches,False,,499,0,Brand New
New ListingVINTAGE LOT OF 3 BULOVA WATCHES WOODY ACCUTRON DUCHESS BAND ,False,,9900,600,Pre-Owned
Seiko Series 5 Automatic Black Dial Men's Watch SNK809K1,True,410,10599,0,Brand New
Fashion Sport Men's Women's Black Silicone Jelly Alloy Quartz Analog Wrist Watch,True,339,619,0,Brand New
Luxury Men's Quartz Watch Stainless Steel Analog Ultra Thin Waterproof Business,False,35,988,0,Brand New
New ListingVintage Waltham Art Deco Wristwatch Working,False,,2895,364,Pre-Owned
Invicta Men's Watch Pro Diver Quartz Dive Blue Dial Silver Tone Bracelet 9204OB,True,0,5229,0,Brand New
Military Watch Nylon Band Quartz Analog Wristwatch Soldier Luminous Watches,False,56,257,22,New (Other)
New ListingVintage Elgin Movement Wristwatch P  10K RGP,False,,1895,364,Pre-Owned
New ListingVintage Paul Breguette 14K White Gold 0.96 TCW Diamond Hand Wind Women's Watch,True,,125,1175,Pre-Owned
Seiko 5 SNKL23 Automatic Day-Date Black Dial Stainless Steel Mens Watch SNKL23K1,True,0,9325,0,Brand New
FNGEEN Waterproof Men's Watch Stainless Steel Quartz Luminous Classic Business,True,,1198,0,Brand New
New ListingEterna Wrist Watch,False,,125,500,Pre-Owned
Waterproof Men Luxury Watch Automatic Mechanical Classic Stainless Steel Watches,True,,2398,0,Brand New
Men Quartz Watch Relojes De Hombre Minimalist Ultra Thin Stainless Steel Watches,True,,1598,0,Brand New
2002 Stainless Steel Rolex Mod. 16220 DateJust Jubilee Bracelet Blue Dial Watch,False,0,395000,0,Pre-Owned
New Invicta Men 50mm PRO DIVER AUTOMATIC NH35A Charcoal Tritium Dial Black Watch,True,0,10999,999,Brand New
New ListingBULOVA ACCUTRON 214 WATCH CASE W/BAND STAINLESS STEEL ? SPACEVIEW B STYLE ?,False,,4100,1000,Pre-Owned
Waterproof Digital Sports Watch Military Tactical Men LED Backlight Wristwatch,False,159,1048,0,Brand New
"1970's ""Vintage Japan"" ""SEIKO 5. Automatic Sky Blue Classic Day Date Men's Watch",False,18,5900,400,Pre-Owned
Seiko Men's Series 5 Automatic Black Dial Watch - SNKL45K1 NEW,True,0,9228,0,Brand New
New ListingVintage Gruen Watch - Rose Gold Filled - 1940s,False,,99,500,Pre-Owned
Men's Watch Reloj De Hombre Sports Style Silicone Rubber Watches Chronograph New,True,,2498,0,Brand New
Casio Men's Quartz 8-Digit Calculator Resin Band 35mm Watch CA53W-1,True,0,2350,0,Brand New
Bulova Men's Quartz Date Indicator Blue Silicone Band 43mm Watch 98B341,True,312,8499,0,Brand New
Invicta PRO DIVER CHRONOGRAPH Silver Black Dial OCEAN VOYAGE SS Men Watch,True,0,7989,999,Brand New
Luxury Men's Automatic Mechanical Stainless Steel Watch Business Hollow Skeleton,True,,2248,0,Brand New
Business Men Stainless Steel Wristwatch Leather Strap Automatic Mechanical Watch,False,132,73199,177,Brand New
Men's Watch Relojes De Hombre Stainless Steel Quartz Luminous Classic Watches,True,,1589,0,Brand New
Stylish Men Women Analog Quartz Wrist Watch Stainless Steel Band Dress Watches,False,,8541519,0,New (Other)
NEW!! Invicta Pro Diver Champagne Dial Gold-tone Roman Numerals Mens Watch 16739,True,0,6435,0,Brand New
G-Shock Power Trainer Analog-Digital Shock Resistant Blue Men Watch GBA800UC-2A,True,334,9999,0,Brand New
Men's Sports Watch Relojes De Hombre Military Waterproof Luminous Silicon Strap ,True,,2599,0,Brand New
Waterproof Men Watch Relojes De Hombre Stainless Steel Quartz Classic Wristwatch,True,,1348,0,Brand New
Invicta Women's IN-27434 Angel 38mm Quartz Watch,True,47,3699,0,Brand New
New Fashion Geneva Women Leather Band Stainless Steel Quartz Analog Wrist Watch,True,,699,0,Brand New
SMAEL FASHION Military Sport Watch Men's Digital Analog Waterproof Wrist Watches,False,,1399,0,Brand New
CURREN Military Men's Watch Sport Chronograph Leather Infantry Reloj Para Hombre,True,,2499,0,Brand New
New Men's Watch Waterproof Luminous Calendar Quartz Wrist Watch,False,0,21422236,0,Brand New
Fashion Ladies Wrist Watches Watch Quartz Analog Women Girl Steel Casual Gifts..,True,,495,0,Brand New
Shop on eBay,False,,2000,,Brand New
Waterproof Digital Sports Watch Military Tactical LED Backlight Wristwatch Men,True,,989,0,Brand New
Rolex Oyster Perpetual Date Watch Case Men Genuine 34mm Bezel Parts 1500,False,0,89900,0,Pre-Owned
SKMEI Men's Digital Army Military Sport Quartz Analog Chrono Waterproof Watch US,True,,1389,0,Brand New
Military Mens Automatic Mechanical Watch White Dial Wrist Steel Date Analog Army,False,0,2940,0,Brand New
CURREN Military Men's Watch Sport Chronograph Leather Infantry Reloj Para Hombre,True,,2499,0,Brand New
Luxury Men's Mechanical Wrist Watch Brown Leather Strap Retro Design Skeleton,True,,2498,0,Brand New
Mens Watches Male Quartz Watch Casual Slim Mesh Steel Waterproof Sport,True,0,948957,0,Brand New
Men's Digital Army Military Sport Quartz Analog Chrono Waterproof Watch US,True,,1298,0,Brand New
CASIO DW5600E-1V Mens Classic GSHOCK Black Resin Digital Chronograph Sport Watch,True,190,4799,0,Brand New
New Invicta Men 50mm PRO DIVER AUTOMATIC NH35A Blue Tritium Dial Blue Tone Watch,True,0,10999,999,Brand New
Invicta Men's Watch Elements Yellow Gold Plated Stainless Steel Bracelet 30335,True,0,2299,0,Brand New
Citizen Women's Quartz Crystal Accent Bezel Date Calendar 26mm Watch EU6060-55D,True,0,5099,0,Refurbished
Waterproof Men Quartz Watch Relojes De Hombre Stainless Steel Classic Wristwatch,True,,998,0,Brand New
CURREN Men Watch Top Brand Men Military Sport Wristwatch Leather Quartz Watches,False,,19572068,0,Brand New
Ed Hardy Men's Shiny Gold Metal Alloy Bracelet Watch 46mm Gift Set,False,,1999,0,Brand New
Versus Versace Mens Gold 46 mm Bicocca Watch VSPHJ1721,True,,11900,0,Brand New
Classic Ladies Watch Fashion Quartz Analog Wristwatch Square Dial Watches Gift,False,,279,22,New (Other)
HOT Luxury Women's Fashion Watch Stainless Steel Band Analog Quartz Wrist Watch,False,236,499672,0,Brand New
"Casio MQ24-9B,   Men's Black Resin Watch, Analog, Water Resistant",True,0,1525,0,Brand New
Fashion Military Men's Sport Digital Quartz Analog Waterproof Wrist Watch US Sto,True,,13991549,0,Brand New
MEGIR Waterproof Men Military Quartz Stainless Steel Leather Analog Sports Watch,True,,12981398,0,Brand New
Calvin Klein Women's K9U23141 Wavy 32mm Black Stainless Steel Watch,True,146,3999,0,Brand New
Men's Army Military Luminous 24 Hours Dial Nylon Strap Date Quartz Wrist Watch,False,,1044,0,New (Other)
Men Date Digital Electronic Watch Army Military Sport Waterproof Male WristWatch,True,,1498,0,Brand New
Invicta Men's IN-34748 Speedway 52mm Quartz Chronograph Watch,True,108,6199,0,Brand New
Waterproof Gold Men's Watch Classic Stainless Steel Quartz Analog Business Gift,True,,1498,0,Brand New
Fashion Stainless Steel Luxury Sport Analog Quartz Men's Wrist Watch RE GOD| /n,False,,359389,0,Brand New
Bulova Maquina Men's Automatic Skeleton Dial Exhibition Back 46mm Watch 98A238,True,0,19999,0,Refurbished
